,EVALID,PLOTID,STATECD,CONDID,SUBP,STATUSCD,STANDING_DEAD_CD,SPCD,scientific,NBR_STEMS,DIA,TPA_UNADJ,OWNGRPCD,FIA_LANDUSE,ITREE_LANDUSE,LEAF_AREA_ITREE,CROWN_DIEBACK_CD,IS_MAINTAINED_AREA,IS_STREET_TREE,IS_PLANTED
25785,PortlandME2022Curr,2383467,23,1,1,Live,NA,129,Pinus strobus,1,5.1,6.018046286,Private,Multi-family,Multi-family,373.2373142,5,0,0,2
25786,PortlandME2022Curr,2383482,23,1,1,Dead,Yes,541,Fraxinus americana,1,7.8,6.018046286,Private,Residential,Residential,0,NA,0,0,2
25787,PortlandME2022Curr,2383482,23,1,1,Live,NA,316,Acer rubrum,1,8.8,6.018046286,Private,Residential,Residential,5099.709324,5,1,0,2
25788,PortlandME2022Curr,2384109,23,1,1,Live,NA,316,Acer rubrum,1,7.8,6.018046286,Private,Residential,Residential,4627.83596,0,1,0,2
25805,PortlandME2022Curr,2384157,23,1,1,Live,NA,320,Acer platanoides,1,9.6,6.018046286,Private,Residential,Residential,5241.969364,0,1,0,2
25814,PortlandME2022Curr,2384103,23,1,1,Live,NA,743,Populus grandidentata,1,14.5,6.018046286,StateLocal,Forest land,Unused/Other,3628.136285,0,0,0,2
25815,PortlandME2022Curr,2384103,23,1,1,Live,NA,316,Acer rubrum,1,8.4,6.018046286,StateLocal,Forest land,Unused/Other,3385.048117,0,0,0,2
25816,PortlandME2022Curr,2384103,23,1,1,Dead,Yes,129,Pinus strobus,1,15.6,6.018046286,StateLocal,Forest land,Unused/Other,0,NA,0,0,2
25817,PortlandME2022Curr,2384103,23,1,1,Live,NA,316,Acer rubrum,1,7.8,6.018046286,StateLocal,Forest land,Unused/Other,3139.355439,0,0,0,2
25818,PortlandME2022Curr,2384103,23,1,1,Live,NA,129,Pinus strobus,1,13.5,6.018046286,StateLocal,Forest land,Unused/Other,4584.481422,0,0,0,2
